"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
6244,"C GULF","Other","East",2000,0.559552486349164,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6247,"C GULF","Other","East",2000,-0.39046499161077,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6249,"C GULF","Other","East",2000,-0.504467088965962,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6252,"C GULF","Other","East",2000,-0.922474779268333,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6254,"C GULF","Other","East",2000,-0.39046499161077,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6255,"C GULF","Other","East",2000,0.597553185467562,"M",1,8,3,8,5,8,7,7,7,8,7,7,7,8,8,8,8,8,8
6256,"C GULF","Other","East",2000,-1.26448107133391,"M",1,8,8,8,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6259,"C GULF","Other","East",2000,-2.36650134576743,"M",1,8,3,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8
6264,"C GULF","Other","East",2000,0.635553884585958,"M",1,2,8,8,5,6,7,7,7,7,7,7,7,7,8,8,8,8,8
6268,"C GULF","Other","East",2000,-1.60648736339948,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6269,"C GULF","Other","East",2000,-2.49950379268182,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6271,"C GULF","Other","East",2000,-0.618469186321154,"M",1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6273,"C GULF","Other","East",2000,-0.0104580004267962,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6276,"C GULF","Other","East",2000,-0.732471283676346,"M",1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6277,"C GULF","Other","East",2000,0.521551787230766,"M",1,8,8,8,8,6,8,8,7,8,7,8,7,8,8,8,8,8,8
6279,"C GULF","Other","East",2000,-0.80847268191314,"M",1,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6434,"E ALEU","Other","East",2001,-1.94849365546506,"M",8,1,8,8,4,5,8,7,7,7,7,7,7,7,8,8,8,8,8
6437,"E ALEU","Other","East",2001,-0.694470584557949,"M",8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6438,"E ALEU","Other","East",2001,-1.26448107133391,"M",8,1,8,8,4,5,8,7,8,8,8,8,8,8,8,8,8,8,8
6440,"E ALEU","Other","East",2001,-1.56848666428109,"M",8,1,2,8,8,8,8,8,8,7,8,7,7,7,7,7,7,8,8
6442,"E ALEU","Other","East",2001,-1.87249225722827,"M",8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6443,"E ALEU","Other","East",2001,-0.162460796900385,"M",8,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6444,"E ALEU","Other","East",2001,-0.80847268191314,"M",8,1,8,8,4,8,8,8,8,8,7,7,8,8,8,8,8,8,8
6445,"E ALEU","Other","East",2001,0.141544796046793,"M",8,1,2,8,8,8,8,8,7,7,7,7,7,7,8,8,8,8,8
6447,"E ALEU","Other","East",2001,0.939559477533137,"M",8,1,8,8,8,5,8,7,7,7,7,7,7,7,7,7,7,8,8
6448,"E ALEU","Other","East",2001,1.58557136254589,"M",8,1,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8
6449,"E ALEU","Other","East",2001,-0.846473381031537,"M",8,1,8,8,8,8,8,7,7,7,7,7,7,7,7,8,8,8,8
6451,"E ALEU","Other","East",2001,-0.80847268191314,"M",8,1,8,8,4,8,6,7,7,7,8,7,8,8,8,8,8,8,8
6452,"E ALEU","Other","East",2001,-1.11247827486032,"M",8,1,2,3,4,5,8,7,7,8,7,7,7,7,7,7,7,8,8
6453,"E ALEU","Other","East",2001,0.217546194283588,"M",8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6456,"E ALEU","Other","East",2001,0.331548291638779,"M",8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6457,"E ALEU","Other","East",2001,-0.428465690729167,"M",8,1,8,8,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8
6458,"E ALEU","Other","East",2001,-0.732471283676346,"M",8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6462,"E ALEU","Other","East",2001,-0.80847268191314,"M",8,1,2,8,8,8,8,7,7,7,8,7,8,8,8,8,8,8,8
6463,"E ALEU","Other","East",2001,1.20556437136192,"M",8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6467,"E ALEU","Other","East",2001,-0.618469186321154,"M",8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6468,"E ALEU","Other","East",2001,0.48355108811237,"M",8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6470,"E ALEU","Other","East",2001,-1.53048596516269,"M",8,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6471,"E ALEU","Other","East",2001,-0.276462894255577,"M",8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6472,"E ALEU","Other","East",2001,-1.79649085899147,"M",8,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6475,"E ALEU","Other","East",2001,-0.200461496018783,"M",8,1,8,3,4,8,8,7,7,7,7,7,7,8,8,8,8,8,8
6476,"E ALEU","Other","East",2001,-0.80847268191314,"M",8,1,8,8,4,8,6,7,7,7,7,8,8,8,8,8,8,8,8
6479,"E ALEU","Other","East",2001,0.673554583704356,"M",8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7
6480,"E ALEU","Other","East",2001,-0.276462894255577,"M",8,1,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8
6481,"E ALEU","Other","East",2001,-0.0484586995451941,"M",8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6483,"E ALEU","Other","East",2001,-1.98649435458346,"M",8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
6484,"E ALEU","Other","East",2001,-0.428465690729167,"M",8,1,8,8,8,5,8,7,7,8,8,7,7,8,8,8,8,8,8
