"AnimalID","reg_0","reg_0b","reg_0c","t_0","Mass_std","Sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
6275,"C GULF","Other","East",2000,-0.257873359613634,"F",1,2,3,4,11,11,11,9,10,11,11,11,11,11,11,11,11,11,11
6278,"C GULF","Other","East",2000,-0.0636300167541824,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6280,"C GULF","Other","East",2000,-0.6949208810474,"F",1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6281,"C GULF","Other","East",2000,-0.209312523898771,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6282,"C GULF","Other","East",2000,0.810465026113351,"F",1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6435,"E ALEU","Other","East",2001,-0.597799209617675,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6436,"E ALEU","Other","East",2001,-1.90894177391897,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6439,"E ALEU","Other","East",2001,-0.500677538187948,"F",11,1,11,11,4,5,7,10,11,11,10,10,10,10,9,10,10,9,11
6441,"E ALEU","Other","East",2001,0.373417504679584,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6446,"E ALEU","Other","East",2001,0.859025861828215,"F",11,1,11,3,4,5,11,11,11,11,10,9,11,11,11,11,11,11,11
6450,"E ALEU","Other","East",2001,-0.209312523898771,"F",11,1,11,11,4,6,7,10,10,10,10,10,10,11,11,11,11,11,11
6454,"E ALEU","Other","East",2001,-0.403555866758223,"F",11,1,11,11,4,5,7,10,9,10,10,9,9,10,10,10,10,10,9
6455,"E ALEU","Other","East",2001,-1.71469843105952,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6459,"E ALEU","Other","East",2001,2.51009427613355,"F",11,1,11,11,4,6,11,10,11,11,11,11,11,11,11,11,11,11,11
6460,"E ALEU","Other","East",2001,-0.889164223906852,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6461,"E ALEU","Other","East",2001,-2.15174595249329,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6464,"E ALEU","Other","East",2001,0.179174161820132,"F",11,1,2,11,4,5,11,11,11,11,11,11,11,11,11,11,11,11,11
6465,"E ALEU","Other","East",2001,0.13061332610527,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6466,"E ALEU","Other","East",2001,-1.22909007391089,"F",11,1,11,11,4,5,11,11,10,10,10,9,9,11,11,11,11,11,11
6469,"E ALEU","Other","East",2001,0.713343354683626,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6473,"E ALEU","Other","East",2001,-0.937725059621715,"F",11,1,11,3,4,5,11,10,10,10,10,10,10,10,9,9,11,10,9
6474,"E ALEU","Other","East",2001,0.179174161820132,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6477,"E ALEU","Other","East",2001,0.0820524903904069,"F",11,1,11,11,4,5,11,11,10,11,11,9,11,11,9,11,11,11,11
6478,"E ALEU","Other","East",2001,-0.0636300167541824,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6482,"E ALEU","Other","East",2001,-1.52045508820007,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6492,"E ALEU","Other","East",2001,-1.27765090962576,"F",11,1,11,11,11,5,11,9,9,11,11,10,10,10,9,9,10,9,11
6494,"E ALEU","Other","East",2001,-1.32621174534062,"F",11,1,11,11,4,5,11,9,9,10,9,9,10,11,11,11,11,11,11
6499,"E ALEU","Other","East",2001,0.664782518968762,"F",11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6500,"E ALEU","Other","East",2001,-0.160751688183908,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6501,"E ALEU","Other","East",2001,-0.500677538187948,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6504,"E ALEU","Other","East",2001,-0.743481716762263,"F",11,1,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6505,"E ALEU","Other","East",2001,0.616221683253899,"F",11,1,2,11,4,5,11,11,9,10,10,10,10,10,11,11,11,11,11
6506,"E ALEU","Other","East",2001,0.373417504679584,"F",11,1,11,11,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11
6508,"E ALEU","Other","East",2001,0.276295833249859,"F",11,1,11,11,11,5,11,11,11,9,11,11,11,11,11,11,11,11,11
6514,"E ALEU","Other","East",2001,0.810465026113351,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6515,"E ALEU","Other","East",2001,1.34463421897684,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6517,"E ALEU","Other","East",2001,1.9273642475552,"F",11,1,11,3,4,6,11,9,9,10,9,10,10,10,10,10,11,11,11
6518,"E ALEU","Other","East",2001,0.95614753325794,"F",11,1,2,11,4,5,11,11,11,11,11,11,11,11,11,11,11,11,11
6520,"E ALEU","Other","East",2001,-0.257873359613634,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6521,"E ALEU","Other","East",2001,1.83024257612547,"F",11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6522,"E ALEU","Other","East",2001,-0.209312523898771,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6523,"E ALEU","Other","East",2001,-0.209312523898771,"F",11,1,2,3,4,6,11,9,10,10,9,10,10,11,11,11,11,11,11
6525,"E ALEU","Other","East",2001,-0.209312523898771,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6526,"E ALEU","Other","East",2001,-0.403555866758223,"F",11,1,11,11,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6527,"E ALEU","Other","East",2001,-0.257873359613634,"F",11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6529,"E ALEU","Other","East",2001,-0.306434195328497,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6532,"E ALEU","Other","East",2001,1.9273642475552,"F",11,1,11,11,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6535,"E ALEU","Other","East",2001,-0.500677538187948,"F",11,1,2,11,4,6,11,9,10,10,10,10,10,9,11,11,11,11,11
6537,"E ALEU","Other","East",2001,0.276295833249859,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6538,"E ALEU","Other","East",2001,-0.6949208810474,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6542,"E ALEU","Other","East",2001,-2.0060634453487,"F",11,1,11,11,4,5,11,10,10,10,10,10,10,10,10,10,10,10,9
6543,"E ALEU","Other","East",2001,1.0047083689728,"F",11,1,11,11,4,5,7,11,10,10,11,11,11,9,11,11,11,11,11
6544,"E ALEU","Other","East",2001,-0.112190852469045,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6547,"E ALEU","Other","East",2001,0.13061332610527,"F",11,1,11,11,4,5,11,9,9,9,9,9,9,11,11,11,11,11,11
6548,"E ALEU","Other","East",2001,0.810465026113351,"F",11,1,2,3,4,5,7,10,10,10,9,10,10,10,9,9,10,10,11
6549,"E ALEU","Other","East",2001,1.9273642475552,"F",11,1,11,11,4,5,7,11,9,11,11,11,11,11,11,11,11,11,11
6551,"E ALEU","Other","East",2001,-0.403555866758223,"F",11,1,2,11,11,11,7,11,11,11,11,11,11,11,11,11,11,11,11
6554,"E ALEU","Other","East",2001,-0.889164223906852,"F",11,1,11,3,4,5,7,10,10,9,9,10,10,10,11,11,11,11,11
6557,"E ALEU","Other","East",2001,-0.597799209617675,"F",11,1,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11
6558,"E ALEU","Other","East",2001,-1.66613759534466,"F",11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6559,"E ALEU","Other","East",2001,-1.71469843105952,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6560,"E ALEU","Other","East",2001,0.470539176109311,"F",11,1,11,11,11,11,11,9,11,11,11,11,11,11,11,11,11,11,11
6561,"E ALEU","Other","East",2001,-0.112190852469045,"F",11,1,2,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6563,"E ALEU","Other","East",2001,-1.0834075667663,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6564,"E ALEU","Other","East",2001,-0.112190852469045,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6565,"E ALEU","Other","East",2001,-0.792042552477127,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6566,"E ALEU","Other","East",2001,-3.12296266679055,"F",11,1,11,11,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6567,"E ALEU","Other","East",2001,0.470539176109311,"F",11,1,11,11,4,11,11,9,11,11,11,11,11,11,11,11,11,11,11
6571,"E ALEU","Other","East",2001,0.276295833249859,"F",11,1,11,11,11,5,7,9,9,9,11,11,11,11,11,11,11,11,11
6572,"E ALEU","Other","East",2001,0.324856668964722,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6573,"E ALEU","Other","East",2001,0.276295833249859,"F",11,1,2,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6577,"E ALEU","Other","East",2001,-1.95750260963384,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6579,"E ALEU","Other","East",2001,-1.32621174534062,"F",11,1,2,11,4,5,11,11,11,9,11,11,11,9,10,10,10,10,9
6581,"E ALEU","Other","East",2001,-1.81182010248925,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6583,"E ALEU","Other","East",2001,-0.403555866758223,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6588,"E ALEU","Other","East",2001,-1.22909007391089,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6590,"E ALEU","Other","East",2001,-0.500677538187948,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6592,"E ALEU","Other","East",2001,0.0820524903904069,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6593,"E ALEU","Other","East",2001,-0.937725059621715,"F",11,1,11,11,4,11,11,11,9,9,9,11,10,9,9,9,11,11,11
6595,"E ALEU","Other","East",2001,-0.209312523898771,"F",11,1,2,3,4,5,11,9,9,9,9,9,10,10,11,11,11,11,11
6596,"E ALEU","Other","East",2001,1.44175589040657,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6597,"E ALEU","Other","East",2001,-1.22909007391089,"F",11,1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
