"","region","year","est.pred","se.pred","ci.pred.lower","ci.pred.upper","est.real","se.real","ci.real.lower","ci.real.upper","surveyed"
"93","W ALEU",1982,3064.73542525933,2342.31971869471,1885.60437902037,4665.77600927767,3064.73542525933,2342.31971869471,1885.60437902037,4665.77600927767,0
"94","W ALEU",1983,3105.73391540481,1551.0004371176,1982.03504732077,4465.40627327832,3105.73391540481,1551.0004371176,1982.03504732077,4465.40627327832,0
"95","W ALEU",1984,3109.34312334124,1135.93966928016,2076.23473556949,4304.49665712212,3109.34312334124,1135.93966928016,2076.23473556949,4304.49665712212,0
"96","W ALEU",1985,3048.06918795026,888.023078344412,2106.47979914036,4124.19064695776,3048.06918795026,888.023078344412,2106.47979914036,4124.19064695776,0
"97","W ALEU",1986,2936.19813306224,733.627747891283,2130.22665567787,3973.11803746754,2936.19813306224,733.627747891283,2130.22665567787,3973.11803746754,0
"98","W ALEU",1987,2783.04640991762,627.955641529663,2053.78703281511,3719.43247160109,2783.04640991762,627.955641529663,2053.78703281511,3719.43247160109,0
"99","W ALEU",1988,2617.93021938359,540.937664436297,2015.80290620892,3490.03821907412,2617.93021938359,540.937664436297,2015.80290620892,3490.03821907412,0
"100","W ALEU",1989,2440.61205496587,456.653455355424,1911.86639771799,3172.27113082996,2454.24413869921,449.879844603814,1924.76388619432,3134.43491288739,1
"101","W ALEU",1990,2253.27482659232,374.24457738127,1775.99333627833,2833.55252979754,2254.64305838297,364.860381488964,1803.19308773496,2821.75928940776,1
"102","W ALEU",1991,2053.99703775621,294.503367109966,1662.22190483208,2511.60106810881,2053.99703775621,294.503367109966,1662.22190483208,2511.60106810881,0
"103","W ALEU",1992,1849.10097010083,226.312630235669,1542.41293553965,2208.07501090132,1849.10097010083,226.312630235669,1542.41293553965,2208.07501090132,0
"104","W ALEU",1993,1649.3972220848,171.668851660882,1414.49343933022,1920.80603527036,1649.3972220848,171.668851660882,1414.49343933022,1920.80603527036,0
"105","W ALEU",1994,1460.48916592971,131.241134122671,1271.67204717151,1657.71550851702,1417.99532586393,127.272121311838,1236.93677801973,1605.92441749483,1
"106","W ALEU",1995,1284.13961913932,103.246179227206,1138.47343950033,1438.932911714,1284.13961913932,103.246179227206,1138.47343950033,1438.932911714,0
"107","W ALEU",1996,1128.31067658145,82.9696466416631,1009.13361674144,1249.09765122784,1128.31067658145,82.9696466416631,1009.13361674144,1249.09765122784,0
"108","W ALEU",1997,992.672773878688,69.2699517697406,900.30974119406,1102.37729203911,1032.77309277852,52.3402699995776,985.444721690871,1111.60955949762,1
"109","W ALEU",1998,875.084656135747,59.3143483493796,793.494521719976,968.659546929364,853.855027592226,42.3438636697116,811.476115070035,918.524501846283,1
"110","W ALEU",1999,773.728823951319,49.8952497493476,698.134533326863,853.884085762434,773.728823951319,49.8952497493476,698.134533326863,853.884085762434,0
"111","W ALEU",2000,683.69314021673,44.1030052039083,619.941191539767,756.297040472655,683.69314021673,44.1030052039083,619.941191539767,756.297040472655,0
"112","W ALEU",2001,605.173100439588,38.2832521710869,547.360321995561,666.582031751307,605.173100439588,38.2832521710869,547.360321995561,666.582031751307,0
"113","W ALEU",2002,534.955152558453,33.4029091586803,482.328836483263,586.467427707668,524.287545194682,15.2243823872427,502.189947897298,549.117397161387,1
"114","W ALEU",2003,473.057202130675,29.5186165598175,428.641315415589,519.498867382463,473.057202130675,29.5186165598175,428.641315415589,519.498867382463,0
"115","W ALEU",2004,419.884245718196,26.6649348344646,379.910327166044,460.624749224468,436.977244809481,13.3946208269167,416.496189053669,459.282662414487,1
"116","W ALEU",2005,373.618064984806,23.4361852324612,336.118221722686,408.32357207364,370,0,370,370,1
"117","W ALEU",2006,334.256597671994,21.9783930966708,302.222377075227,368.673047677693,334.256597671994,21.9783930966708,302.222377075227,368.673047677693,0
"118","W ALEU",2007,300.767715068608,20.820203067941,269.57127290473,332.180720538199,300.767715068608,20.820203067941,269.57127290473,332.180720538199,0
"119","W ALEU",2008,272.532487035989,19.1898982755979,242.710380077577,302.466210111245,285.028560447933,5.19341917676531,276.670708641717,293.374210731352,1
"120","W ALEU",2009,249.537574619912,18.2480141592686,222.627348063242,278.076132205184,234,0,234,234,1
"121","W ALEU",2010,229.852900098777,16.7464757109743,204.692129478708,256.611088363311,229.852900098777,16.7464757109743,204.692129478708,256.611088363311,0
"122","W ALEU",2011,214.082198070169,15.4829194746172,190.97137258196,239.689262652313,201.816221739785,5.01255155797893,194.066127100472,209.876504537931,1
