SITE,REGION,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Type
CAPE PUGET,E GULF,0,0,10,1,,,0,,47,,11,NP
CAPE RESURRECTION,E GULF,12,,169,0,120,,90,,146,,108,NP
CAPE ST. ELIAS,E GULF,728,1400,714,558,1480,,994,,1114,,1258,NP
CHISWELL ISLANDS,E GULF,74,68,94,114,177,,204,,268,,206,NP
DANGER,E GULF,119,2,1,0,,,0,,24,,7,NP
DUTCH GROUP,E GULF,,,,,,,,,328,,124,NP
GLACIER,E GULF,531,509,724,564,862,,962,,1366,,1228,NP
GRANITE CAPE,E GULF,25,4,5,0,,,51,,99,,0,NP
HOOK POINT,E GULF,132,261,,384,60,,9,,19,,0,NP
MIDDLETON,E GULF,0,,,0,,,0,,0,,,NP
PERRY,E GULF,437,227,,0,0,,0,,0,,0,NP
PILOT ROCK,E GULF,,,,,,,,,,,84,NP
PLEIADES,E GULF,0,0,,0,,,0,,0,,0,NP
POINT ELEANOR,E GULF,0,0,,0,,,0,,0,,0,NP
POINT ELRINGTON,E GULF,37,169,162,81,42,,98,,178,,138,NP
POINT LaTOUCHE,E GULF,0,0,,0,,,0,,0,,0,NP
PROCESSION ROCKS,E GULF,77,102,113,185,108,,125,,183,,148,NP
RABBIT,E GULF,0,0,0,0,,,0,,0,,0,NP
RUGGED,E GULF,0,8,2,0,,,3,,48,,34,NP
SEAL ROCKS,E GULF,803,1024,1006,1042,1310,,1445,,1058,,747,NP
SEAL ROCKS (KENAI),E GULF,2,0,13,4,,,7,,51,,110,NP
STEEP POINT,E GULF,90,92,88,107,,,72,,133,,148,NP
THE NEEDLE,E GULF,145,88,112,111,102,,84,,143,,289,NP
WOODED (FISH),E GULF,282,603,662,634,564,,863,,830,,468,NP
AGATTU,W ALEU,,482,,415,476,368,,295,,293,,NP
ALAID,W ALEU,,86,,95,,103,76,91,59,66,78,NP
ATTU,W ALEU,,314,,,282,255,236,207,,200,,NP
BULDIR,W ALEU,,43,,25,,1,11,4,26,28,,NP
INGENSTREM ROCKS,W ALEU,,0,,,0,0,,0,,0,,NP
SHEMYA,W ALEU,,4,,,3,18,18,,,0,0,NP
ATKINS,W GULF,585,558,630,,892,,724,671,,851,791,NP
ATKULIK,W GULF,,0,,0,,,0,,0,,0,NP
BIG KONIUJI,W GULF,0,0,,,,,0,0,,0,0,NP
BIRD,W GULF,97,155,,,234,,444,214,,153,,NP
BIRD (SHUMAGINS),W GULF,,,,,,,,66,,110,40,NP
CASTLE ROCK,W GULF,38,28,,,,,178,129,,1,,NP
CATON,W GULF,416,542,,,606,,688,410,,408,,NP
CHANKLIUT,W GULF,,0,,0,,,,,,,0,NP
CHERNABURA,W GULF,1228,1281,1162,,1494,,927,798,,1047,1188,NP
CHERNI,W GULF,0,0,,,,,,0,,0,,NP
CLUBBING ROCKS,W GULF,1063,952,1023,,1068,,1016,1333,,1236,,NP
EGG (SAND POINT),W GULF,0,0,,,,,,0,,0,6,NP
HAGUE ROCK,W GULF,0,1,,,,,,0,,0,,NP
HUNT,W GULF,0,0,,,,,,0,,1,,NP
JUDE,W GULF,445,465,512,,698,,759,572,,684,681,NP
KAK,W GULF,,1,,27,,,210,,194,,236,NP
KUPREANOF POINT,W GULF,53,72,,,175,,,212,,296,162,NP
LIGHTHOUSE ROCKS,W GULF,152,164,123,,182,,172,,178,,236,NP
MITROFANIA,W GULF,116,129,,,183,,,288,,228,172,NP
NAGAI/MOUNTAIN POINT,W GULF,148,60,,,10,,120,3,,128,229,NP
NAGAI/RK W OF CAPE WEDGE,W GULF,0,0,,,,,,,,0,0,NP
OLGA ROCKS,W GULF,131,176,,,240,,231,332,,215,,NP
OMEGA,W GULF,0,0,,,,,0,0,,0,,NP
PINNACLE ROCK,W GULF,1057,1094,1132,,1126,,1130,1152,,1150,,NP
SANAK,W GULF,0,0,,,,,,0,,0,,NP
SEA LION ROCKS (SHUMAGINS),W GULF,44,54,,,168,,46,97,,110,68,NP
SEAL CAPE,W GULF,,0,,,,,,,0,,0,NP
SIMEONOF,W GULF,,,,,,,,2,,2,9,NP
SOUTH ROCKS,W GULF,457,451,434,,484,,551,,,394,,NP
SOZAVARIKA,W GULF,,0,,,,,,0,,0,,NP
SPITZ,W GULF,11,1,,,,,,90,,0,4,NP
SUSHILNOI ROCKS,W GULF,289,286,398,,444,,355,341,,456,,NP
THE HAYSTACKS,W GULF,41,3,,,,,72,136,,56,30,NP
THE WHALEBACK,W GULF,83,102,103,,122,,186,190,,116,122,NP
TWINS,W GULF,0,0,,,,,,0,,0,0,NP
UNGA/ACHEREDIN POINT,W GULF,229,202,,,103,,78,107,,126,146,NP
UNGA/CAPE UNGA,W GULF,0,0,,,,,,0,,0,0,NP
WOSNESENSKI,W GULF,110,98,,,32,,16,102,,124,,NP
ADAK/LAKE POINT,C ALEU,,,338,320,310,,,250,,,,Pup
AGLIGADAK,C ALEU,,,0,1,0,,,0,,0,,Pup
AMCHITKA/COLUMN ROCKS,C ALEU,,,40,,,,,7,,35,,Pup
AMCHITKA/EAST CAPE,C ALEU,,,13,,,,,9,,13,,Pup
AMLIA/EAST CAPE,C ALEU,,,,,,,,,,96,,Pup
AMLIA/SVIECH. HARBOR,C ALEU,,,34,30,35,,,34,,39,,Pup
AYUGADAK,C ALEU,,,44,,,,50,42,,40,,Pup
CHUGINADAK,C ALEU,,,,,,,,1,,2,,Pup
GRAMP ROCK,C ALEU,,,332,299,,,,236,,,176,Pup
KANAGA/SHIP ROCK,C ALEU,,,214,214,208,,,207,,190,,Pup
KASATOCHI/NORTH POINT,C ALEU,,,394,354,373,,,376,,432,,Pup
KISKA/CAPE ST STEPHEN,C ALEU,86,,91,,,,,71,,40,26,Pup
KISKA/LIEF COVE,C ALEU,48,,80,,,,,84,,78,,Pup
SEGUAM/FINCH POINT,C ALEU,,,,,,,,2,,11,,Pup
SEGUAM/SADDLERIDGE,C ALEU,,,540,518,504,,,530,,568,,Pup
SEGUAM/TURF POINT,C ALEU,,,0,,0,,,0,,0,,Pup
SEMISOPOCHNOI,C ALEU,,,5,,,,,8,,3,,Pup
SILAK,C ALEU,,,,1,,,,,,1,,Pup
TAG,C ALEU,,,130,135,,,,104,,,73,Pup
TAGALAK,C ALEU,,,,1,2,,,12,,11,,Pup
ULAK/HASGOX POINT,C ALEU,,,272,264,,,,173,,,150,Pup
YUNASKA,C ALEU,,,170,185,166,,,,167,159,,Pup
CHIRIKOF,C GULF,,,216,,186,,196,,250,,193,Pup
CHOWIET,C GULF,,,360,,453,,612,,542,,562,Pup
KODIAK/CAPE UGAT,C GULF,,,1,,0,,0,,1,,0,Pup
LATAX ROCKS,C GULF,,,12,,18,,15,,16,,12,Pup
MARMOT,C GULF,465,,509,,524,,557,,624,,500,Pup
NAGAI ROCKS,C GULF,,,18,,8,,7,,5,,6,Pup
OUTER (PYE),C GULF,,,122,122,145,,133,,148,,100,Pup
SHAKUN ROCKS,C GULF,,,,,1,,4,,7,,3,Pup
SITKINAK/CAPE SITKINAK,C GULF,,,0,,,,1,,1,,0,Pup
SUGARLOAF,C GULF,,,613,,767,,862,,902,,682,Pup
SUTWIK,C GULF,,,12,,24,,19,,36,,25,Pup
TWOHEADED,C GULF,,,14,,52,,48,,45,,54,Pup
USHAGAT,C GULF,,,71,,84,,100,,126,,97,Pup
ADUGAK,E ALEU,,,276,,250,,,294,,237,,Pup
AIKTAK,E ALEU,,,2,,2,,,7,,4,,Pup
AKUN/BILLINGS HEAD,E ALEU,119,,144,,136,,,,138,136,,Pup
AKUTAN/CAPE MORGAN,E ALEU,,,688,730,734,,,748,,730,,Pup
AKUTAN/REEF-LAVA,E ALEU,,,22,10,21,,,21,,13,,Pup
AMAK+ROCKS,E ALEU,,,1,,1,,,4,,2,,Pup
BOGOSLOF/FIRE ISLAND,E ALEU,,,282,,323,,,337,,328,,Pup
OGCHUL,E ALEU,,,90,116,109,,,130,,130,,Pup
SEA LION ROCK (AMAK),E ALEU,,,185,,200,,,185,,243,,Pup
UGAMAK,E ALEU,,,909,,969,,,804,,882,,Pup
UMNAK/CAPE ASLIK,E ALEU,,,,,,,,2,,3,,Pup
UNALASKA/CAPE IZIGAN,E ALEU,,,29,41,34,,,42,,50,,Pup
WALRUS,E ALEU,,,14,,,,,,48,,,Pup
CAPE RESURRECTION,E GULF,,,1,,1,,0,,1,,0,Pup
CAPE ST. ELIAS,E GULF,,,18,15,26,,43,,28,,20,Pup
CHISWELL ISLANDS,E GULF,,,64,64,84,,77,,103,,79,Pup
GLACIER,E GULF,,,4,0,5,,6,,14,,5,Pup
PROCESSION ROCKS,E GULF,,,0,,0,,2,,4,,4,Pup
SEAL ROCKS,E GULF,,,740,634,728,,802,,674,,504,Pup
THE NEEDLE,E GULF,,,20,22,30,,29,,30,,5,Pup
WOODED (FISH),E GULF,,,178,224,225,,276,,340,,178,Pup
AGATTU,W ALEU,,225,190,,159,159,158,124,,142,,Pup
ALAID,W ALEU,,20,10,,,9,13,16,,14,8,Pup
ATTU/CAPE WRANGELL,W ALEU,,,33,,27,32,32,34,,42,,Pup
BULDIR,W ALEU,,7,1,,,0,0,0,,1,,Pup
ATKINS,W GULF,,,338,,380,,371,315,,347,333,Pup
BIRD,W GULF,,,,,2,,0,4,,3,,Pup
CATON,W GULF,,,,,,,,1,,2,,Pup
CHERNABURA,W GULF,,,244,,250,,248,266,,338,348,Pup
CLUBBING ROCKS,W GULF,,,778,,828,,893,719,,826,,Pup
JUDE,W GULF,,,270,,300,,340,304,,344,358,Pup
LIGHTHOUSE ROCKS,W GULF,,,16,,9,,8,,24,,15,Pup
OLGA ROCKS,W GULF,,,,,1,,1,5,,6,,Pup
PINNACLE ROCK,W GULF,,,702,,748,,742,714,,735,,Pup
SOUTH ROCKS,W GULF,,,60,,70,,64,,,58,,Pup
SUSHILNOI ROCKS,W GULF,,,34,,27,,12,62,,58,,Pup
THE WHALEBACK,W GULF,,,40,,52,,61,58,,64,68,Pup
BENJAMIN,SE AK,,0,0,0,,,100,,106,,331,NP
BIALI ROCK,SE AK,,407.5,616,488.5,,,832,,896,,934,NP
CAPE ADDINGTON,SE AK,,717.5,9,541.5,,,1006,,972,,778,NP
CAPE BARTOLOME,SE AK,,0,0,59,,,214,,61,,1,NP
CAPE BINGHAM,SE AK,,0,0,0,,,0,,0,,46,NP
CAPE CROSS,SE AK,,1,0,7,,,0,,38,,172,NP
CAPE FAIRWEATHER,SE AK,,0,0,0,,,0,,0,,0,NP
CAPE OMMANEY,SE AK,,116.5,273.5,316.5,,,502,,472,,289,NP
CASE (TLINGIT) POINT,SE AK,,0,0,0,,,0,,0,,0,NP
CIRCLE POINT,SE AK,,0,0,0,,,0,,,,0,NP
CORONATION,SE AK,,279,5,253.5,,,7,,132,,92,NP
DOROTHY,SE AK,,0,0,0,,,0,,,,0,NP
EASTERLY,SE AK,,255,188.5,215.5,,,184,,280,,160,NP
ELDRED ROCK,SE AK,,0,0,0,,,0,,0,,0,NP
EMMONS,SE AK,,,,0,,,0,,,,0,NP
ETOLIN,SE AK,,0,0,0,,,0,,0,,0,NP
FALSE POINT PYBUS,SE AK,,0,0,0,,,0,,0,,0,NP
FORRESTER/C HORN RK,SE AK,,311,502.5,413.5,,,438,,428,,413,NP
FORRESTER/FORRESTER ISLAND,SE AK,,2,91,60,,,42,,35,,45,NP
FORRESTER/LOWRIE,SE AK,,1228.5,2113.5,1310,,,2293,,2138,,1836,NP
FORRESTER/NORTH RK,SE AK,,843.5,1238.5,1056.5,,,923,,1084,,974,NP
FORRESTER/SEA LION RK,SE AK,,509,796.5,542,,,648,,708,,604,NP
GRAN (LEDGE) POINT,SE AK,,582.5,637.5,517.5,,,361,,536,,381,NP
GRAVES ROCK,SE AK,,1305,1441.5,1056,,,1358,,1486,,1844,NP
GRINDALL,SE AK,,374,6,131.5,,,350,,186,,190,NP
HARBOR POINT,SE AK,,178,264,205.5,,,0,,0,,218,NP
HAZY,SE AK,,1686,2457,1642.5,,,2450,,2636,,2033,NP
